id,name,now_cost,position,team,red_cards,transfers_in_event,assists,saves,transfers_out,bonus,clean_sheets_per_90,cost_change_start,cost_change_event,starts,corners_and_indirect_freekicks_order,direct_freekicks_order,selected_rank_type,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,ict_index_rank_type,selected_rank,form_rank_type,creativity_rank_type,ep_this,cost_change_event_fall,points_per_game_rank,ict_index,threat,ict_index_rank,now_cost_rank_type,expected_assists_per_90,influence_rank_type,expected_goals_conceded,chance_of_playing_this_round,penalties_missed,web_name,selected_by_percent,expected_goals_per_90,chance_of_playing_next_round,saves_per_90,points_per_game_rank_type,clean_sheets,threat_rank_type,own_goals,expected_goals,news,news_added,form_rank,penalties_order,value_form,transfers_in,form,creativity,value_season,bps,goals_conceded,yellow_cards,goals_scored,expected_goal_involvements,influence_rank,creativity_rank,points_per_game,influence,minutes,penalties_saved,status,expected_assists,transfers_out_event,starts_per_90,threat_rank,cost_change_start_fall,dreamteam_count,in_dreamteam,ep_next,event_points,total_points,expected_goals_conceded_per_90
158,Samuel Bastien,49,MID,Burnley,0,0,0,0,2548,0,0.0,-1,0,0,,,253,0.0,239,0.0,296,633,280,294,0.0,0,702,0.0,0.0,701,153,0.0,295,0.00,0.0,0,Bastien,0.0,0.0,0.0,0.0,296,0,292,0,0.00,Has joined Kasimpasa S.K. on loan,2023-09-18T10:36:05.969054Z,676,,0.0,326,0.0,0.0,0.0,0,0,0,0,0.00,699,697,0.0,0.0,0,0,u,0.00,16,0.0,694,1,0,False,0.0,0,0,0.0
159,Manuel Benson Hedilazio,52,MID,Burnley,0,11,0,0,14874,0,0.0,-3,0,1,,,154,0.05,156,4.15,184,468,305,192,-0.2,0,429,3.3,22.0,398,98,0.01,193,3.09,25.0,0,Benson,0.1,0.04,25.0,0.0,212,0,145,0,0.03,Lack of match fitness - 25% chance of playing,2023-09-27T09:00:08.265496Z,709,,0.0,1586,0.0,4.3,0.6,8,3,0,0,0.04,422,384,1.0,6.0,65,0,d,0.01,104,1.38,282,3,0,False,-0.1,0,3,4.28
160,Jordan Beyer,40,DEF,Burnley,0,385,0,0,330068,1,0.0,0,0,8,,,59,0.02,657,2.12,74,143,88,99,-0.2,0,354,20.8,4.0,237,187,0.01,41,12.20,100.0,0,Beyer,1.5,0.01,100.0,0.0,119,0,137,0,0.06,,2023-10-07T21:00:07.723066Z,273,,0.2,61469,0.8,27.2,2.2,116,16,3,0,0.11,122,300,1.1,175.8,678,0,a,0.05,1301,1.06,383,0,0,False,0.3,1,9,1.62
161,Josh Brownhill,47,MID,Burnley,0,1515,0,0,30250,0,0.0,-3,0,8,1.0,3.0,106,0.19,320,2.31,56,347,48,42,2.0,0,186,43.8,86.0,90,209,0.12,53,13.76,,0,Brownhill,0.2,0.07,,0.0,82,0,82,0,0.58,,,93,,0.6,17159,3.0,188.3,6.0,144,20,1,2,1.60,133,53,2.5,162.0,779,0,a,1.02,304,0.92,133,3,0,False,2.5,7,28,1.59
162,Darko Churlinov,44,MID,Burnley,0,46,0,0,3129,0,0.0,-1,0,0,,,231,0.0,537,0.0,236,603,206,232,-1.0,0,613,0.0,0.0,607,297,0.0,231,0.00,100.0,0,Churlinov,0.0,0.0,100.0,0.0,240,0,226,0,0.00,,2023-08-31T18:00:07.313510Z,557,,0.0,1002,0.0,0.0,0.0,0,0,0,0,0.00,600,591,0.0,0.0,0,0,a,0.00,30,0.0,577,1,0,False,-0.5,0,0,0.0
163,Jack Cork,48,MID,Burnley,0,23,0,0,2156,0,0.0,-2,0,0,,,225,0.06,275,0.0,206,593,268,204,-1.0,0,406,0.5,2.0,442,176,0.06,207,0.13,,0,Cork,0.0,0.0,,0.0,192,0,205,0,0.00,,,661,,0.0,541,0.0,0.9,0.2,2,0,0,0,0.01,442,409,1.0,1.8,16,0,a,0.01,23,0.0,406,2,0,False,-0.5,0,1,0.73
164,Dara Costelloe,45,MID,Burnley,0,0,0,0,2753,0,0.0,0,0,0,,,271,0.0,448,0.0,278,667,253,275,0.0,0,678,0.0,0.0,676,261,0.0,274,0.00,0.0,0,Costelloe,0.0,0.0,0.0,0.0,280,0,270,0,0.00,Season long loan to St Johnstone,2023-08-17T06:12:47.501520Z,635,,0.0,101,0.0,0.0,0.0,0,0,0,0,0.00,670,665,0.0,0.0,0,0,u,0.00,12,0.0,656,0,0,False,0.0,0,0,0.0
165,Josh Cullen,50,MID,Burnley,0,37,1,0,8784,0,0.0,0,0,10,,,155,0.1,185,2.36,101,469,178,84,-0.8,0,285,25.4,18.0,206,114,0.09,70,18.49,100.0,0,Cullen,0.1,0.01,100.0,0.0,130,0,155,0,0.08,,2023-10-28T19:30:08.472702Z,370,,0.0,6885,0.2,109.9,3.4,115,22,5,0,0.95,177,118,1.7,126.6,839,0,a,0.87,106,1.07,302,0,0,False,-0.3,0,17,1.98
166,CJ Egan-Riley,39,DEF,Burnley,0,372,0,0,14760,0,0.0,-1,0,0,,,119,0.0,735,0.0,164,304,125,162,-1.0,0,483,0.0,0.0,478,235,0.0,165,0.00,,0,Egan-Riley,0.2,0.0,,0.0,161,0,153,0,0.00,,,402,,0.0,18138,0.0,0.0,0.0,0,0,0,0,0.00,472,455,0.0,0.0,0,0,a,0.00,291,0.0,431,1,0,False,-0.5,0,0,0.0
167,Hjalmar Ekdal,39,DEF,Burnley,0,78,0,0,15761,0,0.0,-1,0,0,,,152,0.0,739,0.0,167,396,129,165,-0.5,0,486,0.0,0.0,481,239,0.0,168,0.00,50.0,0,Ekdal,0.1,0.0,50.0,0.0,164,0,156,0,0.00,Lack of match fitness - 50% chance of playing,2023-08-31T02:00:07.493185Z,406,,0.0,2888,0.0,0.0,0.0,0,0,0,0,0.00,475,458,0.0,0.0,0,0,d,0.00,120,0.0,434,1,0,False,-0.2,0,0,0.0
168,Lyle Foster,50,FWD,Burnley,1,498,2,0,192258,4,0.15,0,0,7,,,26,0.3,203,2.81,19,170,41,19,-0.1,0,32,37.7,130.0,110,45,0.07,15,13.54,25.0,0,Foster,1.1,0.23,25.0,0.0,6,1,30,0,1.56,Illness - 25% chance of playing,2023-10-28T20:00:07.456915Z,333,,0.1,255224,0.5,79.5,6.6,105,19,0,3,2.04,127,162,4.7,168.2,609,0,d,0.48,6841,1.03,89,0,0,False,0.0,0,33,2.0
169,Denis Franchi,39,GKP,Burnley,0,251,0,0,8736,0,0.0,-1,0,0,,,53,0.0,740,0.0,42,344,40,25,-1.0,0,487,0.0,0.0,482,84,0.0,42,0.00,,0,Franchi,0.2,0.0,,0.0,42,0,18,0,0.00,,,407,,0.0,8172,0.0,0.0,0.0,0,0,0,0,0.00,476,459,0.0,0.0,0,0,a,0.00,91,0.0,435,1,0,False,-0.5,0,0,0.0
170,Jóhann Berg Gudmundsson,48,MID,Burnley,0,53,1,0,4254,0,0.0,-2,0,6,2.0,2.0,220,0.31,279,2.09,84,584,110,41,0.2,0,282,30.1,42.0,169,179,0.25,109,6.59,100.0,0,Gudmundsson,0.0,0.06,100.0,0.0,127,0,115,0,0.28,,2023-09-25T13:00:08.033849Z,234,,0.3,1560,1.2,189.1,2.5,65,10,2,0,1.49,269,52,1.7,69.6,431,0,a,1.21,27,1.25,221,2,0,False,0.7,1,12,1.38
171,Luke McNally,40,DEF,Burnley,0,0,0,0,1605,0,0.0,0,0,0,,,226,0.0,690,0.0,201,657,168,199,0.0,0,551,0.0,0.0,546,209,0.0,202,0.00,0.0,0,McNally,0.0,0.0,0.0,0.0,198,0,192,0,0.00,Season long loan to Stoke City,2023-08-04T09:35:51.951556Z,477,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,540,524,0.0,0.0,0,0,u,0.00,9,0.0,502,0,0,False,0.0,0,0,0.0
172,Arijanet Muric,43,GKP,Burnley,0,37,0,0,14728,0,0.0,-2,0,0,,,54,0.0,593,0.0,79,352,78,65,-1.0,0,579,0.0,0.0,573,32,0.0,79,0.00,,0,Muric,0.2,0.0,,0.0,79,0,59,0,0.00,,,514,,0.0,1388,0.0,0.0,0.0,0,0,0,0,0.00,567,555,0.0,0.0,0,0,a,0.00,115,0.0,538,2,0,False,-0.5,0,0,0.0
173,Dara O'Shea,44,DEF,Burnley,0,301,1,0,13109,1,0.0,-1,0,7,,,133,0.03,516,3.2,50,337,43,71,1.0,0,344,28.9,45.0,178,112,0.01,37,15.92,,0,O'Shea,0.2,0.02,,0.0,115,0,55,0,0.15,,,147,,0.5,6648,2.0,45.7,2.3,118,24,0,0,0.26,103,241,1.2,196.6,675,0,a,0.11,208,0.93,211,1,0,False,1.5,1,10,2.12
174,Michael Obafemi,49,FWD,Burnley,0,185,0,0,4546,0,0.0,-1,0,0,,,79,0.9,251,0.0,83,569,48,84,-0.4,0,421,0.0,1.0,705,51,0.0,82,0.00,50.0,0,Obafemi,0.0,0.9,100.0,0.0,53,0,55,0,0.05,,2023-08-06T23:30:05.563053Z,366,,0.0,1685,0.2,0.0,0.2,1,0,0,0,0.05,703,701,1.0,0.0,5,0,a,0.00,53,0.0,407,1,0,False,-0.3,1,1,0.0
175,Bailey Peacock-Farrell,40,GKP,Burnley,0,0,0,0,900,0,0.0,0,0,0,,,80,0.0,649,0.0,59,668,58,43,0.0,0,519,0.0,0.0,515,51,0.0,59,0.00,0.0,0,Peacock-Farrell,0.0,0.0,0.0,0.0,59,0,36,0,0.00,Joined Aarhus on loan,2023-07-26T11:25:50.410533Z,443,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,508,493,0.0,0.0,0,0,u,0.00,11,0.0,469,0,0,False,0.0,0,0,0.0
176,Connor Roberts,44,DEF,Burnley,1,71,1,0,26055,0,0.0,-1,0,8,,,124,0.04,504,2.58,66,320,239,31,-1.5,0,438,22.5,8.0,222,104,0.04,72,16.94,100.0,0,Roberts,0.2,0.0,100.0,0.0,140,0,126,0,0.00,,2023-10-21T17:30:07.665681Z,741,,-0.1,13591,-0.5,92.7,1.8,102,21,2,0,0.34,179,142,0.9,125.0,733,0,a,0.34,255,0.98,359,1,0,False,-1.0,0,8,2.08
177,Jay Rodriguez,53,FWD,Burnley,0,411,0,0,23466,0,0.0,-2,0,2,,,54,0.32,129,2.46,41,346,28,43,0.2,0,336,12.9,94.0,306,36,0.01,42,5.43,,0,Rodriguez,0.2,0.31,,0.0,41,0,33,0,1.02,,,238,1.0,0.2,9276,1.2,17.8,1.7,10,8,0,0,1.05,370,330,1.3,23.2,293,0,a,0.03,316,0.61,122,2,0,False,0.7,2,9,1.67
178,Charlie Taylor,40,DEF,Burnley,0,5529,0,0,157394,0,0.0,0,0,9,,,28,0.03,623,2.11,62,74,31,56,1.2,0,289,23.9,23.0,210,165,0.02,51,15.38,,0,Taylor,5.4,0.01,,0.0,93,0,85,0,0.12,,,123,,0.6,610287,2.2,59.1,3.5,110,19,3,1,0.30,139,207,1.6,156.4,810,0,a,0.18,4663,1.0,274,0,0,False,1.7,1,14,1.71
179,Bobby Thomas,40,DEF,Burnley,0,0,0,0,1202,0,0.0,0,0,0,,,225,0.0,674,0.0,195,655,161,193,0.0,0,539,0.0,0.0,534,199,0.0,195,0.00,0.0,0,Thomas,0.0,0.0,0.0,0.0,192,0,185,0,0.00,Permanent transfer to Coventry,2023-07-24T09:55:44.165399Z,464,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,527,512,0.0,0.0,0,0,u,0.00,15,0.0,489,0,0,False,0.0,0,0,0.0
180,Scott Twine,49,MID,Burnley,0,0,0,0,2629,0,0.0,-1,0,0,,,275,0.0,253,0.0,300,676,285,298,0.0,0,707,0.0,0.0,707,161,0.0,299,0.00,0.0,0,Twine,0.0,0.0,0.0,0.0,300,0,296,0,0.00,Season long loan to Hull,2023-08-21T08:28:24.720790Z,682,,0.0,119,0.0,0.0,0.0,0,0,0,0,0.00,705,703,0.0,0.0,0,0,u,0.00,8,0.0,699,1,0,False,0.0,0,0,0.0
181,Lawrence Vigouroux,40,GKP,Burnley,0,71,0,0,8733,0,0.0,0,0,0,,,51,0.0,633,0.0,54,330,53,38,-1.0,0,505,0.0,0.0,501,46,0.0,54,0.00,,0,Vigouroux,0.2,0.0,,0.0,54,0,31,0,0.00,,,428,,0.0,3218,0.0,0.0,0.0,0,0,0,0,0.00,494,479,0.0,0.0,0,0,a,0.00,146,0.0,455,0,0,False,-0.5,0,0,0.0
182,Victor da Silva,44,DEF,Burnley,0,66,0,0,10431,0,0.0,-1,0,5,,,145,0.03,541,2.58,121,383,91,78,-0.2,0,381,8.4,11.0,343,122,0.03,132,7.88,100.0,0,Vitinho,0.1,0.0,100.0,0.0,134,0,120,0,0.01,,2023-08-31T02:00:07.534376Z,278,,0.2,2910,0.8,40.0,1.4,41,12,0,0,0.13,342,260,1.0,33.4,419,0,a,0.12,93,1.07,344,1,0,False,0.3,1,6,1.69
183,Wout Weghorst,55,FWD,Burnley,0,0,0,0,14670,0,0.0,0,0,0,,,73,0.0,94,0.0,88,521,87,88,0.0,0,728,0.0,0.0,729,29,0.0,88,0.00,0.0,0,Weghorst,0.0,0.0,0.0,0.0,88,0,88,0,0.00,On loan to Hoffenheim,2023-08-10T13:52:51.426276Z,718,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,729,729,0.0,0.0,0,0,u,0.00,30,0.0,727,0,0,False,0.0,0,0,0.0
184,Anass Zaroury,48,MID,Burnley,1,8,0,0,11521,0,0.0,-2,0,1,3.0,,200,0.17,309,1.43,178,548,155,150,-0.5,0,461,4.6,19.0,384,203,0.06,208,2.67,100.0,0,Zaroury,0.0,0.11,100.0,0.0,222,0,151,0,0.16,,2023-08-12T08:00:06.224285Z,326,,0.1,1551,0.5,31.4,0.4,3,2,0,0,0.25,443,282,0.5,1.8,126,0,a,0.09,62,0.71,295,2,0,False,0.0,0,2,1.91
475,Sander Berge,48,MID,Burnley,0,128,1,0,15020,2,0.0,-2,0,9,,,128,0.13,299,2.63,88,391,98,94,0.5,0,259,29.1,66.0,177,196,0.02,69,18.28,,0,Berge,0.1,0.11,,0.0,114,0,97,0,0.92,,,214,,0.3,8133,1.5,95.5,4.8,100,23,2,0,1.13,176,134,1.9,127.8,787,0,a,0.21,201,1.03,166,2,0,False,1.0,2,23,2.09
594,Zeki Amdouni,53,FWD,Burnley,0,570,0,0,48889,2,0.12,-2,-1,11,,,51,0.28,147,2.19,21,324,26,27,0.8,1,222,35.2,187.0,124,40,0.05,23,15.61,,0,Amdouni,0.2,0.23,,0.0,33,1,18,0,1.86,,,194,,0.3,51654,1.8,63.7,4.5,63,18,1,1,2.29,225,189,2.2,101.2,740,0,a,0.43,647,1.34,50,2,0,False,1.3,2,24,1.9
596,James Trafford,45,GKP,Burnley,0,576,0,42,52199,0,0.0,0,0,12,,,24,0.0,403,2.5,3,189,15,7,1.0,0,254,36.3,0.0,115,20,0.0,3,22.37,,0,Trafford,0.9,0.0,,3.5,26,0,71,0,0.00,,,151,,0.4,34325,2.0,0.1,5.1,223,30,1,0,0.00,7,430,1.9,362.2,1080,0,a,0.00,942,1.0,620,0,0,False,1.5,2,23,1.86
600,Nathan Redmond,48,MID,Burnley,0,19,0,0,4238,0,0.0,-2,0,0,,,221,0.3,283,4.09,173,586,134,153,-0.2,0,407,5.1,8.0,377,183,0.3,175,1.95,100.0,0,Redmond,0.0,0.0,100.0,0.0,193,0,183,0,0.00,,2023-09-28T17:00:09.620680Z,283,,0.2,568,0.8,28.9,1.2,21,4,0,0,0.29,389,289,1.0,14.0,88,0,a,0.29,15,0.0,362,2,0,False,0.3,0,6,1.99
605,Luca Koleosho,50,MID,Burnley,0,171,1,0,24325,0,0.12,0,0,10,,,126,0.29,211,2.65,77,387,88,62,0.8,0,229,32.8,144.0,149,132,0.12,125,14.46,,0,Koleosho,0.1,0.17,,0.0,99,1,43,0,1.51,,,191,,0.4,30961,1.8,131.6,5.0,52,23,0,0,2.52,296,87,2.1,54.8,782,0,a,1.01,344,1.15,69,0,0,False,1.3,2,25,1.66
608,Jacob Bruun Larsen,49,MID,Burnley,0,30,0,0,1898,0,0.0,-1,0,0,,1.0,227,0.29,237,2.47,125,595,126,140,0.0,0,306,17.0,78.0,272,151,0.06,127,4.02,,0,Bruun Larsen,0.0,0.23,,0.0,141,0,90,0,0.46,,,262,,0.2,1392,1.0,41.7,3.3,45,5,0,1,0.58,298,254,1.5,53.6,182,0,a,0.12,38,0.0,146,1,0,False,0.5,1,16,1.99
622,Owen Dodgson,40,DEF,Burnley,0,0,0,0,3188,0,0.0,0,0,0,,,203,0.0,676,0.0,197,553,163,195,0.0,0,541,0.0,0.0,536,201,0.0,197,0.00,0.0,0,Dodgson,0.0,0.0,0.0,0.0,194,0,187,0,0.00,Season-long loan to Barnsley,2023-09-01T21:48:22.703139Z,466,,0.0,467,0.0,0.0,0.0,0,0,0,0,0.00,529,514,0.0,0.0,0,0,u,0.00,23,0.0,491,0,0,False,0.0,0,0,0.0
660,Wilson Odobert,50,MID,Burnley,0,10,0,0,715,0,0.0,0,0,2,,,270,0.59,215,3.94,126,666,140,130,-0.2,0,244,16.9,64.0,273,135,0.42,122,5.73,,0,Odobert,0.0,0.17,,0.0,107,0,99,0,0.30,,,292,,0.2,803,0.8,47.5,2.0,44,7,1,1,1.04,290,237,2.0,58.0,160,0,a,0.74,26,1.12,170,0,0,False,0.3,1,10,3.22
674,Hannes Delcroix,40,DEF,Burnley,0,92,0,0,2255,0,0.0,0,0,2,,,197,0.15,660,4.14,116,523,111,107,-0.8,0,458,11.1,42.0,318,190,0.02,120,5.61,,0,Delcroix,0.0,0.13,,0.0,151,0,60,0,0.35,,,342,,0.0,3799,0.2,25.2,0.8,39,11,1,0,0.39,314,310,0.5,44.4,239,0,a,0.04,87,0.75,218,0,0,False,-0.3,0,3,2.11
675,Aaron Ramsey,50,MID,Burnley,0,144,0,0,5897,0,0.0,0,0,2,,,192,0.2,207,2.06,168,534,179,169,-0.2,0,335,5.9,18.0,368,130,0.18,165,3.36,25.0,0,A.Ramsey,0.0,0.02,100.0,0.0,157,0,156,0,0.05,,2023-11-03T12:00:10.115104Z,371,,0.0,7671,0.2,19.9,1.6,30,5,0,0,0.49,371,326,1.3,22.8,218,0,a,0.44,126,0.83,303,0,0,False,-0.3,1,8,1.39
694,Han-Noah Massengo,50,MID,Burnley,0,13,0,0,219,0,0.0,0,0,0,,,288,0.0,204,0.0,310,698,299,309,-1.0,0,720,0.0,0.0,720,127,0.0,310,0.00,,0,Massengo,0.0,0.0,,0.0,310,0,308,0,0.00,,,700,,0.0,246,0.0,0.0,0.0,0,0,0,0,0.00,720,718,0.0,0.0,0,0,a,0.00,18,0.0,715,0,0,False,-0.5,0,0,0.0
706,Mike Trésor,55,MID,Burnley,0,76,0,0,2871,0,0.0,0,0,2,1.0,,224,0.2,108,2.43,154,591,129,125,0.0,0,311,8.9,19.0,339,67,0.08,174,5.22,,0,M.Trésor,0.0,0.12,,0.0,145,0,153,0,0.30,,,269,,0.2,3595,1.0,55.0,1.6,26,6,0,0,0.50,388,216,1.5,14.4,222,0,a,0.20,76,0.81,297,0,0,False,0.5,0,9,2.12
126,Moisés Caicedo Corozo,47,MID,Chelsea,0,1365,0,0,272829,0,0.22,-3,0,9,,,47,0.07,330,1.35,107,150,97,86,0.5,0,270,23.1,20.0,216,214,0.05,84,9.84,100.0,0,Caicedo,1.4,0.02,100.0,0.0,118,2,148,0,0.17,,2023-10-03T22:30:07.822883Z,213,,0.3,90037,1.5,107.1,3.8,112,12,3,0,0.62,212,121,1.8,108.0,802,0,a,0.45,2725,1.01,290,3,0,False,1.0,1,18,1.1
145,Robert Sánchez,46,GKP,Chelsea,0,7167,0,35,408442,4,0.25,1,0,12,,,12,0.0,341,1.33,11,67,16,8,1.0,0,89,29.9,0.0,170,14,0.0,11,15.34,,0,Sanchez,6.2,0.0,,2.92,9,3,74,0,0.00,,,153,,0.4,676714,2.0,0.1,9.3,224,16,1,0,0.00,26,432,3.6,298.2,1080,0,a,0.00,7615,1.0,673,-1,0,False,1.5,2,43,1.28
185,Ethan Ampadu,40,DEF,Chelsea,0,0,0,0,840,0,0.0,0,0,0,,,231,0.0,643,0.0,181,686,144,179,0.0,0,514,0.0,0.0,510,178,0.0,181,0.00,0.0,0,Ampadu,0.0,0.0,0.0,0.0,177,0,170,0,0.00,Permanent transfer to Leeds Utd,2023-07-20T08:39:43.633400Z,437,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,503,488,0.0,0.0,0,0,u,0.00,6,0.0,464,0,0,False,0.0,0,0,0.0
187,Kepa Arrizabalaga,50,GKP,Chelsea,0,0,0,0,83066,0,0.0,0,0,0,,,50,0.0,174,0.0,85,316,85,82,0.0,0,713,0.0,0.0,713,5,0.0,85,0.00,0.0,0,Arrizabalaga,0.2,0.0,0.0,0.0,85,0,81,0,0.00,One year loan deal to Real Madrid,2023-08-15T08:06:29.726491Z,690,,0.0,1775,0.0,0.0,0.0,0,0,0,0,0.00,713,709,0.0,0.0,0,0,u,0.00,144,0.0,706,0,0,False,0.0,0,0,0.0
188,Pierre-Emerick Aubameyang,65,FWD,Chelsea,0,0,0,0,1924,0,0.0,0,0,0,,,85,0.0,45,0.0,92,618,91,92,0.0,0,737,0.0,0.0,738,16,0.0,92,0.00,0.0,0,Aubameyang,0.0,0.0,0.0,0.0,92,0,92,0,0.00,,2023-07-24T09:59:36.133419Z,731,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,738,738,0.0,0.0,0,0,u,0.00,4,0.0,738,0,0,False,0.0,0,0,0.0
189,César Azpilicueta,45,DEF,Chelsea,0,0,0,0,96,0,0.0,0,0,0,,,241,0.0,351,0.0,232,733,216,232,0.0,0,625,0.0,0.0,619,51,0.0,232,0.00,0.0,0,Azpilicueta,0.0,0.0,0.0,0.0,230,0,230,0,0.00,Left the club as a free agent,2023-07-06T16:30:03.010661Z,572,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,613,605,0.0,0.0,0,0,u,0.00,0,0.0,592,0,0,False,0.0,0,0,0.0
190,Abdul Rahman Baba,40,DEF,Chelsea,0,0,0,0,261,0,0.0,0,0,0,,,239,0.0,629,0.0,172,723,135,170,0.0,0,501,0.0,0.0,497,168,0.0,172,0.00,0.0,0,Baba,0.0,0.0,0.0,0.0,168,0,161,0,0.00,Permanent Transfer to PAOK,2023-07-13T08:07:47.494096Z,424,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,490,475,0.0,0.0,0,0,u,0.00,2,0.0,451,0,0,False,0.0,0,0,0.0
191,Benoît Badiashile,44,DEF,Chelsea,0,279,0,0,4660,0,0.0,-1,0,0,,,198,0.0,530,0.0,230,526,213,230,-1.0,0,609,0.0,0.0,603,119,0.0,230,0.00,100.0,0,B.Badiashile,0.0,0.0,100.0,0.0,228,0,228,0,0.00,,2023-08-03T10:30:04.564668Z,553,,0.0,2647,0.0,0.0,0.0,0,0,0,0,0.00,596,587,0.0,0.0,0,0,a,0.00,183,0.0,573,1,0,False,-0.5,0,0,0.0
192,Marcus Bettinelli,40,GKP,Chelsea,0,42,0,0,1638,0,0.0,0,0,0,,,77,0.0,631,0.0,53,601,52,37,-1.0,0,503,0.0,0.0,499,45,0.0,53,0.00,100.0,0,Bettinelli,0.0,0.0,100.0,0.0,53,0,30,0,0.00,,2023-08-03T10:30:04.581002Z,426,,0.0,968,0.0,0.0,0.0,0,0,0,0,0.00,492,477,0.0,0.0,0,0,a,0.00,26,0.0,453,0,0,False,-0.5,0,0,0.0
193,Armando Broja,49,FWD,Chelsea,0,1316,1,0,49502,0,0.74,-1,0,2,,,52,0.46,265,0.74,44,334,32,48,0.0,0,135,9.2,49.0,334,57,0.03,37,1.09,75.0,0,Broja,0.2,0.43,100.0,0.0,21,1,43,0,0.58,,2023-10-18T22:00:08.965956Z,264,,0.2,59116,1.0,6.1,2.4,37,1,0,1,0.62,332,377,3.0,38.4,121,0,a,0.04,588,1.49,200,1,0,False,0.5,4,12,0.81
194,Trevoh Chalobah,43,DEF,Chelsea,0,7,0,0,16388,0,0.0,-2,0,0,,,193,0.0,582,0.0,218,506,194,218,0.0,0,576,0.0,0.0,569,141,0.0,219,0.00,0.0,0,Chalobah,0.0,0.0,0.0,0.0,217,0,214,0,0.00,Hamstring injury - Unknown return date,2023-08-11T16:00:07.662192Z,509,,0.0,699,0.0,0.0,0.0,0,0,0,0,0.00,563,551,0.0,0.0,0,0,i,0.00,58,0.0,533,2,0,False,0.0,0,0,0.0
195,Ben Chilwell,54,DEF,Chelsea,0,138,1,0,3094274,2,0.27,-1,0,4,1.0,3.0,27,0.57,118,1.35,53,73,235,19,0.0,0,190,28.1,88.0,184,8,0.34,114,4.08,0.0,0,Chilwell,5.5,0.23,0.0,0.0,64,1,16,0,0.85,Hamstring injury - Unknown return date,2023-09-28T03:30:08.842279Z,716,,0.0,2118850,0.0,136.4,2.8,66,5,3,0,2.12,293,85,2.5,57.0,334,0,i,1.27,11374,1.08,130,1,0,False,0.0,0,15,1.1
196,Carney Chukwuemeka,43,MID,Chelsea,0,2212,0,0,351813,0,0.0,-2,0,2,,,45,0.2,601,1.44,146,147,187,161,0.0,0,131,9.9,39.0,326,320,0.14,147,1.96,0.0,0,Chukwuemeka,1.5,0.06,0.0,0.0,56,0,120,0,0.08,Knee injury - Unknown return date,2023-10-18T22:00:09.030876Z,518,,0.0,223420,0.0,25.1,1.4,23,2,2,1,0.27,336,313,3.0,34.8,125,0,i,0.19,5504,1.44,227,2,0,False,0.0,0,6,1.41
197,Levi Colwill,46,DEF,Chelsea,0,2913,1,0,474264,3,0.29,1,0,11,,,31,0.11,348,1.16,34,82,106,49,-0.5,0,114,34.9,101.0,127,49,0.03,40,11.56,,0,Colwill,4.9,0.08,75.0,0.0,37,3,13,0,0.84,Shoulder injury - 75% chance of playing,2023-11-13T01:00:09.220779Z,316,,0.1,656981,0.5,66.5,7.6,198,12,1,0,1.17,118,184,3.2,182.0,934,0,d,0.33,21519,1.06,115,-1,1,False,0.0,0,35,1.11
198,Marc Cucurella Saseta,48,DEF,Chelsea,0,2570,0,0,58028,0,0.19,-2,0,5,,,84,0.19,294,1.48,71,221,108,52,-0.5,0,332,21.3,51.0,231,34,0.04,94,7.11,100.0,0,Cucurella,0.6,0.15,100.0,0.0,112,1,44,0,0.83,,2023-09-17T20:30:06.589342Z,324,,0.1,46133,0.5,62.8,1.7,77,8,4,0,1.03,231,193,1.3,99.0,485,0,a,0.20,1488,0.93,195,2,0,False,0.0,-1,8,1.32
199,Enzo Fernández,48,MID,Chelsea,0,2446,1,0,428923,0,0.4,-2,0,11,4.0,1.0,33,0.38,306,1.2,38,113,69,20,1.0,0,227,55.0,139.0,55,201,0.16,57,11.53,100.0,1,Enzo,2.6,0.22,100.0,0.0,97,4,45,0,2.20,,2023-10-28T18:00:08.281338Z,155,4.0,0.4,258869,2.0,261.2,4.8,118,12,3,0,3.75,145,26,2.1,151.4,897,0,a,1.55,5350,1.1,74,2,0,False,1.5,2,23,1.16
200,David Datro Fofana,50,FWD,Chelsea,0,0,0,0,358,0,0.0,0,0,0,,,95,0.0,213,0.0,86,718,85,87,0.0,0,722,0.0,0.0,722,47,0.0,86,0.00,0.0,0,D.D.Fofana,0.0,0.0,0.0,0.0,87,0,86,0,0.00,Joined Union Berlin on a season-long loan - Expected back 01 Jul,2023-07-11T09:30:03.546600Z,703,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,722,720,0.0,0.0,0,0,u,0.00,2,0.0,717,0,0,False,0.0,0,0,0.0
