id,name,now_cost,position,team,influence_rank_type,now_cost_rank,threat_rank_type,bps,points_per_game_rank,expected_assists_per_90,points_per_game_rank_type,total_points,transfers_in_event,transfers_out_event,form_rank,in_dreamteam,news,goals_conceded_per_90,expected_assists,corners_and_indirect_freekicks_order,expected_goals_conceded,cost_change_event_fall,form,minutes,chance_of_playing_next_round,expected_goals_conceded_per_90,starts,ep_next,web_name,selected_rank,points_per_game,assists,expected_goals_per_90,ict_index_rank,creativity_rank,chance_of_playing_this_round,status,penalties_saved,selected_by_percent,saves_per_90,saves,threat_rank,news_added,dreamteam_count,cost_change_event,transfers_in,ict_index_rank_type,influence_rank,direct_freekicks_order,event_points,goals_conceded,value_form,starts_per_90,expected_goal_involvements_per_90,selected_rank_type,cost_change_start,ep_this,penalties_missed,threat,red_cards,own_goals,clean_sheets_per_90,expected_goals,yellow_cards,creativity,ict_index,influence,expected_goal_involvements,penalties_order,clean_sheets,bonus,now_cost_rank_type,goals_scored,transfers_out,value_season,creativity_rank_type,cost_change_start_fall,form_rank_type
1,Folarin Balogun,44,FWD,Arsenal,57,525,59,0,606,0.0,63,0,0,280,550,False,Transferred to Monaco,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Balogun,303,0.0,0,0.0,600,584,0.0,u,0,0.2,0.0,0,570,2023-08-31T08:55:15.272751Z,0,0,10024,59,593,,0,0,0.0,0.0,0.0,47,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,92,0,59296,0.0,60,1,57
2,Cédric Alves Soares,39,DEF,Arsenal,160,712,147,0,466,0.0,156,0,775,779,384,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.5,Cédric,248,0.0,0,0.0,461,436,,a,0,0.4,0.0,0,411,,0,0,27059,159,455,,0,0,0.0,0.0,0.0,96,-1,1.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,226,0,28908,0.0,157,1,119
3,Mohamed Elneny,44,MID,Arsenal,206,493,197,12,57,0.0,31,4,386,415,245,False,,0.0,0.00,,0.00,0,1.0,1,100.0,0.0,0,1.5,M.Elneny,400,4.0,1,0.0,443,417,100.0,a,0,0.1,0.0,0,395,2023-08-11T13:00:06.079379Z,0,0,11440,207,441,,0,0,0.2,0.0,0.0,129,-1,2.0,0,2.0,0,0,0.0,0.00,0,0.5,0.4,1.8,0.00,,0,0,282,0,14168,0.9,208,1,115
4,Fábio Ferreira Vieira,54,MID,Arsenal,102,126,91,62,179,0.13,78,21,37,905,241,False,Suspended until 09 Dec,0.76,0.35,5.0,1.48,0,1.2,236,0.0,0.56,2,0.0,Fábio Vieira,390,2.6,3,0.46,225,190,100.0,s,0,0.1,0.0,0,149,2023-11-12T02:00:08.552136Z,0,0,11345,110,255,,-2,2,0.2,0.76,0.59,127,-1,2.2,0,77.0,1,0,0.38,1.20,0,63.6,21.9,79.4,1.55,4.0,1,0,81,1,15533,3.9,112,1,114
5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,65,302,52,142,145,0.01,49,29,18304,15886,235,False,,0.85,0.11,,7.50,0,1.2,744,100.0,0.91,8,1.7,Gabriel,23,2.9,0,0.04,234,304,100.0,a,0,14.9,0.0,0,208,2023-09-30T23:00:07.672676Z,0,0,853769,73,164,,2,7,0.3,0.97,0.05,7,-2,2.2,0,46.0,0,0,0.36,0.34,1,26.6,21.1,137.8,0.45,,3,2,35,0,2272040,6.0,102,2,77
6,Kai Havertz,71,MID,Arsenal,93,28,41,64,230,0.09,100,25,1077,2062,225,False,,0.76,0.69,,6.22,0,1.5,711,,0.79,8,2.0,Havertz,144,2.1,1,0.29,112,89,,a,0,1.5,0.0,0,67,,0,0,38453,64,235,,1,6,0.2,1.01,0.38,43,-4,2.5,0,147.0,0,0,0.38,2.30,4,129.8,37.3,96.4,2.99,3.0,3,0,16,1,347790,3.5,64,4,107
8,Gabriel Fernando de Jesus,78,FWD,Arsenal,33,15,25,51,182,0.07,24,18,653,5017,337,False,Hamstring injury - 25% chance of playing,0.99,0.30,,4.22,0,0.5,362,25.0,1.05,4,0.2,G.Jesus,132,2.6,1,0.43,194,210,25.0,d,0,1.9,0.0,0,70,2023-10-24T23:30:07.618920Z,0,0,401748,30,276,,0,4,0.1,0.99,0.5,22,-2,0.4,0,144.0,0,0,0.5,1.71,2,58.7,26.9,67.8,2.01,,2,2,6,1,518583,2.3,33,2,43
9,Jorge Luiz Frello Filho,53,MID,Arsenal,130,132,181,60,318,0.07,149,13,382,283,220,False,,1.42,0.30,,4.68,0,1.5,381,100.0,1.11,4,2.0,Jorginho,326,1.4,0,0.02,309,187,100.0,a,0,0.2,0.0,0,356,2023-08-07T15:30:05.168632Z,0,0,7279,139,304,,2,6,0.3,0.94,0.09,97,-2,2.5,0,9.0,0,0,0.24,0.09,1,64.7,12.3,49.6,0.39,,1,0,83,0,14998,2.5,111,2,103
10,Jakub Kiwior,43,DEF,Arsenal,136,597,105,42,213,0.02,73,9,103,162,174,False,,0.99,0.05,,0.87,0,1.8,182,,0.43,2,2.3,Kiwior,423,2.2,0,0.16,373,376,,a,0,0.1,0.0,0,314,,0,0,3690,134,353,,1,2,0.4,0.99,0.18,163,-2,2.8,0,16.0,0,0,0.49,0.32,0,6.4,5.3,29.4,0.37,,1,0,153,0,7352,2.1,137,2,52
11,Marcus Oliveira Alencar,45,MID,Arsenal,262,427,258,0,662,0.0,269,0,0,50,615,False,Season long loan to FC Nantes,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Marquinhos,514,0.0,0,0.0,658,648,0.0,u,0,0.0,0.0,0,638,2023-08-14T03:57:12.475590Z,0,0,819,266,652,,0,0,0.0,0.0,0.0,178,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,246,0,11419,0.0,263,0,239
12,Gabriel Martinelli Silva,78,MID,Arsenal,52,16,16,137,129,0.19,55,31,10828,37111,143,False,Muscle injury - 75% chance of playing,1.0,1.53,2.0,5.89,0,2.2,721,75.0,0.74,9,2.0,Martinelli,53,3.1,2,0.15,27,22,100.0,d,0,7.4,0.0,0,29,2023-11-12T02:00:08.588141Z,0,0,737801,19,130,3.0,2,8,0.3,1.12,0.34,17,-2,3.2,0,268.0,0,0,0.25,1.22,0,287.0,71.7,163.0,2.75,,2,0,9,1,1406057,4.0,17,2,68
13,Eddie Nketiah,57,FWD,Arsenal,14,86,13,159,52,0.04,10,50,38869,47692,32,False,,0.59,0.31,,5.63,0,5.0,766,100.0,0.66,9,5.5,Nketiah,38,4.2,2,0.37,59,145,75.0,a,0,10.2,0.0,0,27,2023-11-09T08:30:08.250179Z,1,0,1368140,13,121,,1,5,0.9,1.06,0.41,6,2,4.5,0,272.0,0,0,0.7,3.14,2,90.6,53.4,179.4,3.45,,6,5,27,5,764066,8.8,16,-2,7
14,Martin Ødegaard,83,MID,Arsenal,31,10,27,161,17,0.13,10,48,1880,83773,338,False,Hip injury - 75% chance of playing,0.8,1.16,3.0,7.61,1,0.5,789,75.0,0.87,9,0.8,Ødegaard,27,5.3,2,0.3,37,34,75.0,d,0,14.2,0.0,0,44,2023-11-04T21:00:08.152623Z,1,-1,1077105,26,81,1.0,0,7,0.1,1.03,0.43,10,-2,1.1,0,197.0,0,0,0.46,2.61,1,239.2,65.3,217.4,3.77,2.0,4,6,7,3,2073988,5.8,27,2,163
15,Thomas Partey,48,MID,Arsenal,124,290,162,58,271,0.08,119,7,10,308,665,False,Muscle injury - Unknown return date,0.72,0.21,,2.53,0,0.0,250,0.0,0.91,3,0.0,Thomas,343,1.8,0,0.03,303,204,0.0,i,0,0.2,0.0,0,321,2023-10-25T12:00:07.465521Z,0,0,8477,137,295,,0,2,0.0,1.08,0.11,104,-2,0.0,0,15.0,0,0,0.36,0.07,0,60.0,13.1,55.8,0.28,,1,0,190,0,35484,1.5,119,2,272
16,Nicolas Pépé,49,MID,Arsenal,297,242,294,0,704,0.0,298,0,0,23,678,False,Permanent move to Trabzonspor,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Pepe,515,0.0,0,0.0,703,699,0.0,u,0,0.0,0.0,0,696,2023-09-11T14:13:51.462896Z,0,0,667,298,701,,0,0,0.0,0.0,0.0,179,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,155,0,6177,0.0,296,1,282
17,Aaron Ramsdale,47,GKP,Arsenal,23,325,76,55,154,0.0,15,11,3922,15347,656,False,,1.0,0.01,,3.73,0,0.0,360,,0.93,4,0.5,Ramsdale,49,2.8,0,0.0,376,683,,a,0,7.6,1.25,5,676,,0,0,217512,23,301,,0,4,0.0,1.0,0.0,9,-3,1.0,0,0.0,0,0,0.25,0.00,0,0.0,5.1,51.0,0.01,,1,0,12,0,1249465,2.3,78,3,83
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,52,628,29,0,500,0.0,52,0,0,83,423,False,Season long loan to Cardiff City,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Rúnarsson,411,0.0,0,0.0,496,474,0.0,u,0,0.1,0.0,0,450,2023-08-20T06:33:02.960208Z,0,0,990,52,489,,0,0,0.0,0.0,0.0,59,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,44,0,9694,0.0,36,0,51
19,Bukayo Saka,86,MID,Arsenal,5,7,8,264,5,0.32,3,71,97393,39086,48,True,,0.95,3.33,1.0,8.62,0,4.5,945,100.0,0.82,11,5.0,Saka,2,6.5,6,0.4,3,4,75.0,a,0,50.2,0.0,0,14,2023-11-09T08:30:08.290130Z,2,0,2397082,2,13,,5,10,0.5,1.05,0.72,1,1,4.1,0,351.0,0,0,0.38,4.15,1,424.0,111.3,338.2,7.48,1.0,4,8,5,4,3252018,8.3,3,-1,23
20,William Saliba,54,DEF,Arsenal,14,127,58,250,37,0.04,8,55,189411,6486,39,True,,0.83,0.46,,9.55,-1,4.8,1080,100.0,0.8,12,5.3,Saliba,11,4.6,1,0.06,128,218,100.0,a,0,30.3,0.0,0,216,2023-10-09T08:30:07.861646Z,0,1,2162894,35,49,,9,10,0.9,1.0,0.1,3,4,5.8,0,44.0,0,0,0.42,0.70,0,53.8,34.9,249.8,1.16,,5,5,9,1,1202360,10.2,58,-4,12
22,Emile Smith Rowe,53,MID,Arsenal,149,141,117,24,221,0.04,95,9,12,288,193,False,Knee injury - 25% chance of playing,0.0,0.05,,0.17,0,1.8,104,25.0,0.15,1,0.6,Smith Rowe,402,2.2,1,0.69,336,333,25.0,d,0,0.1,0.0,0,223,2023-11-02T11:00:07.493976Z,0,0,4624,152,341,,0,0,0.3,0.87,0.73,130,-2,0.7,0,41.0,0,0,0.87,0.80,0,17.2,9.1,33.8,0.85,,1,0,90,0,14996,1.7,174,2,90
24,Kieran Tierney,44,DEF,Arsenal,227,505,225,0,598,0.0,225,0,0,86,539,False,Season long loan to Real Sociedad,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Tierney,398,0.0,0,0.0,592,575,0.0,u,0,0.1,0.0,0,561,2023-08-29T07:46:59.686803Z,0,0,2665,227,585,,0,0,0.0,0.0,0.0,154,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,105,0,27848,0.0,227,1,207
25,Takehiro Tomiyasu,45,DEF,Arsenal,105,388,51,76,238,0.05,79,20,3239,1054,89,False,,0.87,0.23,,4.77,0,3.0,415,100.0,1.03,3,3.5,Tomiyasu,247,2.0,0,0.08,289,306,100.0,a,0,0.4,0.0,0,207,2023-08-22T00:00:07.272418Z,0,0,35432,101,261,,2,4,0.7,0.65,0.13,95,0,4.0,0,46.0,1,0,0.22,0.38,0,26.2,14.7,76.8,0.61,,1,0,75,1,25041,4.4,104,0,23
26,Leandro Trossard,65,MID,Arsenal,54,46,40,118,44,0.32,25,35,37854,2756,25,False,,0.9,1.05,4.0,2.18,0,5.2,300,100.0,0.65,3,5.7,Trossard,128,4.4,1,0.3,91,95,100.0,a,0,2.2,0.0,0,65,2023-10-09T08:30:07.911344Z,2,0,174465,57,135,,13,3,0.8,0.9,0.62,36,-5,6.2,0,151.0,0,0,0.3,1.01,0,127.3,43.7,158.2,2.06,,1,6,28,3,505425,5.4,69,5,14
29,Benjamin White,58,DEF,Arsenal,21,75,22,236,29,0.08,6,53,6768,139831,170,False,Muscle injury - 75% chance of playing,0.86,0.82,,9.24,0,2.0,947,75.0,0.88,11,1.9,White,24,4.8,1,0.05,74,56,,d,0,14.9,0.0,0,151,2023-11-12T02:00:08.673390Z,2,0,1193688,13,69,,0,9,0.3,1.05,0.13,8,3,3.0,0,77.0,0,0,0.48,0.56,2,176.2,48.2,229.0,1.38,,5,7,6,1,681806,9.1,11,-3,51
30,Granit Xhaka,60,MID,Arsenal,319,63,319,0,734,0.0,319,0,0,5,726,False,Transferred to Bayer Leverkusen,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Xhaka,670,0.0,0,0.0,735,735,0.0,u,0,0.0,0.0,0,735,2023-07-11T08:41:07.159936Z,0,0,0,319,735,,0,0,0.0,0.0,0.0,272,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,39,0,1184,0.0,319,0,316
31,Oleksandr Zinchenko,49,DEF,Arsenal,49,247,26,191,61,0.14,12,44,81317,3896,37,False,,0.81,1.00,,5.52,0,4.8,663,,0.75,8,5.3,Zinchenko,62,4.0,0,0.05,102,63,,a,0,6.8,0.0,0,155,,1,0,445411,24,137,,10,6,1.0,1.09,0.19,20,-1,5.8,0,73.0,0,0,0.54,0.34,1,170.2,40.0,157.8,1.34,,4,6,31,1,463475,9.0,13,1,11
113,David Raya Martin,49,GKP,Arsenal,21,235,80,152,43,0.0,3,35,7672,21727,81,False,Ineligible to face his parent club club on 25/11. - Expected back 02 Dec,0.75,0.00,,5.82,0,3.2,720,0.0,0.73,8,0.0,Raya,85,4.4,0,0.0,319,696,,n,0,4.7,1.5,12,693,2023-11-13T01:00:08.923385Z,0,0,363530,21,207,,3,6,0.7,1.0,0.0,14,-1,4.2,0,0.0,0,0,0.5,0.00,0,0.0,11.1,112.0,0.00,,4,2,8,0,405242,7.1,81,1,5
540,Declan Rice,54,MID,Arsenal,13,122,73,217,80,0.07,39,46,10580,12315,38,False,,0.79,0.74,,8.84,0,4.8,1023,100.0,0.78,12,5.3,Rice,75,3.8,1,0.08,66,69,100.0,a,0,5.4,0.0,0,119,2023-09-24T22:30:08.321972Z,1,0,330058,43,41,,2,9,0.9,1.06,0.15,23,-1,5.8,0,99.0,0,0,0.44,0.90,0,151.3,51.5,263.8,1.64,,5,5,77,2,445952,8.5,50,1,18
578,Reiss Nelson,49,MID,Arsenal,180,243,177,17,419,0.21,203,5,113,124,328,False,,0.0,0.14,,0.56,0,0.5,61,100.0,0.83,0,1.0,Nelson,522,1.0,0,0.03,374,279,100.0,a,0,0.0,0.0,0,348,2023-08-07T15:30:06.067296Z,0,0,5560,171,399,,1,0,0.1,0.0,0.24,184,-1,1.5,0,10.0,0,0,0.0,0.02,0,32.4,5.3,10.8,0.16,,0,0,156,0,6082,1.0,149,1,157
585,Jurriën Timber,46,DEF,Arsenal,157,347,239,3,690,0.02,238,0,40,421,651,False,Knee injury - Unknown return date,0.0,0.01,,0.28,0,0.0,49,0.0,0.51,1,0.0,J.Timber,240,0.0,0,0.0,439,393,0.0,i,0,0.5,0.0,0,674,2023-08-12T18:00:07.121160Z,0,0,11785,156,431,,0,0,0.0,1.84,0.02,93,-4,0.0,0,0.0,0,0,0.0,0.00,1,2.4,0.6,3.6,0.01,,0,0,48,0,475295,0.0,145,4,228
646,Karl Hein,40,GKP,Arsenal,68,679,45,0,544,0.0,68,0,109,115,469,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.5,Hein,505,0.0,0,0.0,539,517,,a,0,0.1,0.0,0,494,,0,0,3567,68,532,,0,0,0.0,0.0,0.0,68,0,1.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,60,0,2467,0.0,52,0,67
735,Charles Sagoe,45,MID,Arsenal,272,445,268,0,676,0.0,279,0,91,11,632,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,1.7,Sagoe,736,0.0,0,0.0,673,662,,a,0,0.0,0.0,0,653,,0,0,91,276,667,,0,0,0.0,0.0,0.0,315,0,2.2,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,259,0,11,0.0,273,0,251
736,Reuell Walters,40,DEF,Arsenal,210,702,200,0,562,0.0,206,0,266,31,488,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,1.8,Walters,715,0.0,0,0.0,557,535,,a,0,0.0,0.0,0,513,,0,0,266,209,551,,0,0,0.0,0.0,0.0,238,0,2.3,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,218,0,31,0.0,207,0,176
737,Bradley Ibrahim,45,MID,Arsenal,275,455,272,0,682,0.0,281,0,66,10,641,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,1.7,Ibrahim,737,0.0,0,0.0,680,670,,a,0,0.0,0.0,0,661,,0,0,66,279,674,,0,0,0.0,0.0,0.0,316,0,2.2,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,264,0,10,0.0,277,0,255
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,240,173,240,0,712,0.0,239,0,1342,428,689,False,,0.0,0.00,,0.00,0,0.0,0,100.0,0.0,0,0.0,Alex Moreno,434,0.0,0,0.0,712,708,100.0,a,0,0.1,0.0,0,705,2023-09-24T22:30:06.810510Z,0,0,10972,240,712,,0,0,0.0,0.0,0.0,168,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,21,0,9664,0.0,240,0,232
34,Leon Bailey,55,MID,Aston Villa,50,103,57,115,82,0.49,41,38,1506,2286,65,False,,1.85,1.87,4.0,6.81,0,3.8,341,100.0,1.8,2,3.8,Bailey,169,3.8,3,0.51,93,91,100.0,a,0,1.1,0.0,0,93,2023-09-28T04:00:07.310756Z,1,0,242490,58,126,,4,7,0.7,0.53,1.0,57,0,3.8,0,129.0,0,0,0.26,1.93,1,129.2,42.8,170.2,3.80,,1,3,63,3,232262,6.9,66,0,34
35,Emiliano Buendía Stati,57,MID,Aston Villa,318,85,318,0,732,0.0,318,0,12,35,722,False,Knee injury - Expected back 10 Feb,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Buendia,530,0.0,0,0.0,733,733,0.0,i,0,0.0,0.0,0,733,2023-08-10T11:00:05.686871Z,0,0,551,318,733,,0,0,0.0,0.0,0.0,189,-3,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,53,0,16748,0.0,318,3,313
36,Matty Cash,52,DEF,Aston Villa,17,158,1,202,76,0.12,19,45,26679,47792,136,False,,1.32,1.31,,14.56,0,2.2,1023,100.0,1.28,12,2.2,Cash,9,3.8,1,0.3,46,143,100.0,a,0,33.8,0.0,0,30,2023-11-05T22:00:08.120450Z,1,0,3418269,4,55,,2,15,0.4,1.06,0.42,2,7,2.2,0,264.0,0,1,0.26,3.43,3,92.4,60.3,245.4,4.74,,3,4,15,2,835730,8.7,32,-7,39
37,Calum Chambers,39,DEF,Aston Villa,161,717,148,0,470,0.0,157,0,1059,1181,388,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.0,Chambers,178,0.0,0,0.0,465,441,,a,0,1.0,0.0,0,416,,0,0,37342,160,459,,0,0,0.0,0.0,0.0,69,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,227,0,71642,0.0,158,1,120
38,Philippe Coutinho Correia,58,MID,Aston Villa,198,71,172,7,431,0.08,213,2,0,135,723,False,Joined Al-Duhail on loan for the rest of the season,3.75,0.02,,0.68,0,0.0,24,0.0,2.55,0,0.0,Coutinho,331,1.0,0,0.56,426,390,0.0,u,0,0.2,0.0,0,340,2023-08-20T22:00:05.790965Z,0,0,4781,197,429,,0,1,0.0,0.0,0.64,99,-2,0.0,0,12.0,0,0,0.0,0.15,0,2.8,1.8,4.0,0.17,,0,0,44,0,46837,0.3,195,2,314
39,Keinan Davis,49,FWD,Aston Villa,83,252,84,0,706,0.0,85,0,0,139,681,False,Transferred to Udinese,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Davis,372,0.0,0,0.0,706,702,0.0,u,0,0.1,0.0,0,698,2023-09-03T20:12:01.415986Z,0,0,4950,84,704,,0,0,0.0,0.0,0.0,60,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,52,0,22020,0.0,85,1,82
40,Leander Dendoncker,49,MID,Aston Villa,190,234,291,10,416,0.0,201,4,35,42,327,False,,0.0,0.00,,0.51,0,0.5,7,100.0,6.56,0,0.5,Dendoncker,617,1.0,0,0.0,437,411,100.0,a,0,0.0,0.0,0,692,2023-08-10T15:00:04.947940Z,0,0,999,203,417,,0,0,0.1,0.0,0.0,241,-1,0.5,0,0.0,0,0,0.0,0.00,0,0.8,0.8,7.4,0.00,,0,0,149,0,2262,0.8,206,1,156
41,Diego Carlos Santos Silva,44,DEF,Aston Villa,115,496,54,47,355,0.01,120,8,57,1215,307,False,Muscle injury - 75% chance of playing,1.98,0.03,,4.02,0,0.5,273,75.0,1.33,3,0.4,Diego Carlos,274,1.1,0,0.12,315,354,75.0,d,0,0.3,0.0,0,210,2023-11-10T02:00:09.636100Z,0,0,18817,114,294,,0,6,0.1,0.99,0.13,108,-1,0.4,0,45.0,0,0,0.0,0.37,0,13.5,11.5,56.8,0.40,,0,0,99,0,40717,1.8,125,1,103
42,Lucas Digne,47,DEF,Aston Villa,22,315,24,195,143,0.19,48,35,7161,12836,182,False,,1.43,2.29,3.0,15.26,0,1.8,1070,,1.28,12,1.8,Digne,65,2.9,3,0.01,31,10,,a,0,6.5,0.0,0,153,,1,0,781856,2,71,2.0,2,17,0.4,1.01,0.2,23,2,1.8,0,76.0,0,0,0.17,0.17,4,370.5,67.3,226.8,2.46,,2,2,38,0,280690,7.4,3,-2,58
43,Douglas Luiz Soares de Paulo,56,MID,Aston Villa,6,91,46,270,22,0.12,13,60,31904,41390,11,False,,1.5,1.31,1.0,14.90,0,6.5,1023,,1.31,12,6.5,Douglas Luiz,32,5.0,1,0.28,26,30,,a,0,12.0,0.0,0,76,,2,0,1304361,18,14,1.0,2,17,1.2,1.06,0.4,12,1,6.5,0,139.0,0,0,0.18,3.21,4,245.7,72.2,337.4,4.52,1.0,2,10,56,5,366712,10.7,24,-1,7
44,Jhon Durán,50,FWD,Aston Villa,32,209,41,55,189,0.01,25,15,677,715,701,False,,0.0,0.01,,1.12,0,0.0,68,100.0,1.48,0,0.0,Duran,313,2.5,0,0.97,298,350,100.0,a,0,0.2,0.0,0,190,2023-10-29T22:00:09.647546Z,0,0,43075,40,267,,0,0,0.0,0.0,0.98,50,0,0.0,0,55.0,0,0,0.0,0.73,2,14.2,13.7,72.6,0.74,,0,3,46,2,35061,3.0,47,0,84
45,Kortney Hause,40,DEF,Aston Villa,174,632,163,0,504,0.0,170,0,202,324,427,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.0,Hause,321,0.0,0,0.0,500,478,,a,0,0.2,0.0,0,454,,0,0,9305,174,493,,0,0,0.0,0.0,0.0,125,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,170,0,13269,0.0,172,0,137
46,Tim Iroegbunam,44,MID,Aston Villa,238,554,233,0,622,0.0,247,0,45,46,567,False,,0.0,0.00,,0.00,0,0.0,0,100.0,0.0,0,0.0,Iroegbunam,590,0.0,0,0.0,616,601,100.0,a,0,0.0,0.0,0,587,2023-08-10T15:00:04.998490Z,0,0,1054,243,609,,0,0,0.0,0.0,0.0,223,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,309,0,3060,0.0,239,1,214
47,Boubacar Kamara,50,MID,Aston Villa,60,199,159,150,261,0.05,116,23,239,312,189,False,,1.42,0.55,,14.21,0,1.8,1011,100.0,1.26,12,1.8,Kamara,378,1.9,0,0.01,121,51,100.0,a,0,0.1,0.0,0,312,2023-09-30T23:00:07.886006Z,0,0,11583,67,152,,2,16,0.4,1.07,0.06,121,0,1.8,0,17.0,0,0,0.27,0.08,4,190.9,35.5,145.6,0.63,,3,1,123,0,12466,4.6,40,0,86
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,27,379,15,206,175,0.02,59,31,3064,2435,114,False,,1.42,0.26,,15.71,0,2.5,1080,,1.31,12,2.5,Konsa,153,2.6,1,0.06,131,263,,a,0,1.4,0.0,0,125,,0,0,89094,36,84,,1,17,0.6,1.0,0.08,61,0,2.5,0,91.0,0,0,0.17,0.70,2,38.6,34.4,212.4,0.96,,2,2,69,0,68464,6.9,80,0,29
49,Emiliano Martínez Romero,49,GKP,Aston Villa,14,227,79,187,169,0.0,17,30,4844,9601,186,False,,1.45,0.00,,14.98,0,1.8,990,100.0,1.36,11,1.8,Martinez,54,2.7,0,0.0,211,694,100.0,a,0,7.2,2.73,30,690,2023-08-25T14:00:08.378829Z,0,0,372560,14,59,,3,16,0.4,1.0,0.0,11,-1,1.8,0,0.0,0,1,0.18,0.00,2,0.0,23.8,237.6,0.00,,2,3,7,0,452123,6.1,80,1,19
50,John McGinn,55,MID,Aston Villa,26,97,49,199,50,0.14,28,51,6794,1230,12,False,,1.33,1.63,2.0,13.36,0,6.2,1017,,1.18,12,6.2,McGinn,192,4.2,2,0.16,43,27,,a,0,0.8,0.0,0,80,,0,0,85882,32,68,,10,15,1.1,1.06,0.3,63,0,6.2,0,137.0,0,0,0.18,1.80,2,259.7,62.7,229.2,3.43,,2,6,59,3,58692,9.3,21,0,8
51,Tyrone Mings,41,DEF,Aston Villa,156,611,134,5,570,0.48,214,0,96,1851,496,False,Knee injury - Unknown return date,6.0,0.16,,1.08,0,0.0,30,0.0,3.24,1,0.0,Mings,149,0.0,0,0.03,418,355,0.0,i,0,1.4,0.0,0,378,2023-08-12T21:30:06.077936Z,0,0,9393,149,430,,0,2,0.0,3.0,0.51,60,-4,0.0,0,5.0,0,0,0.0,0.01,0,13.0,2.2,3.6,0.17,,0,0,161,0,1046167,0.0,126,4,184
53,Robin Olsen,40,GKP,Aston Villa,27,626,27,12,233,0.0,25,2,371,612,421,False,,1.0,0.00,,0.73,0,0.0,90,,0.73,1,0.0,Olsen,197,2.0,0,0.0,431,472,,a,0,0.7,1.0,1,448,,0,0,20068,27,393,,0,1,0.0,1.0,0.0,26,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,1.2,12.0,0.00,,0,0,42,0,36579,0.5,34,0,49
54,Jaden Philogene-Bidace,45,MID,Aston Villa,211,429,199,3,390,0.0,182,1,0,75,617,False,Transferred to Hull City,30.0,0.00,,0.65,0,0.0,3,0.0,19.5,0,0.0,Philogene,472,1.0,0,0.0,445,421,0.0,u,0,0.1,0.0,0,398,2023-09-02T08:48:12.680336Z,0,0,3755,208,447,,0,1,0.0,0.0,0.0,156,0,0.0,0,2.0,0,0,0.0,0.00,0,0.3,0.3,0.4,0.00,,0,0,248,0,13726,0.2,210,0,241
